
="",="(-0.99)",="(-0.33)",="(26.05)",="(3.94)",="(4.01)",="(0.35)",="(2.11)",="(1.42)",="(-0.41)",="(1.76)",="(-0.82)",="(2.82)",="(0.75)"

="momrace1_sim1_d",="",="",="-0.267***",="-1.310***",="-26.54***",="-0.143***",="-5.488***",="-2.198***",="0.000340",="0.333***",="0.0430***",="-0.404***",="-9.989***"
="",="",="",="(-3.97)",="(-14.01)",="(-41.63)",="(-10.04)",="(-10.55)",="(-9.83)",="(0.02)",="(7.02)",="(4.28)",="(-17.05)",="(-13.94)"

="momrace2_sim1_d",="",="",="-0.463***",="-0.580***",="-30.03***",="-0.413***",="-14.88***",="-5.595***",="0.0178",="0.292***",="-0.00488",="-0.728***",="-11.06***"
="",="",="",="(-7.72)",="(-6.97)",="(-52.91)",="(-32.60)",="(-32.13)",="(-28.10)",="(1.23)",="(6.92)",="(-0.55)",="(-34.50)",="(-17.34)"

="mage_seq2_d",="",="",="",="0.108***",="2.028***",="0.0125***",="0.831***",="0.135**",="-0.00324",="0.109***",="0.00250",="0.0409***",="0.00953"
="",="",="",="",="(6.30)",="(17.31)",="(4.79)",="(8.69)",="(3.29)",="(-1.09)",="(12.44)",="(1.36)",="(9.38)",="(0.07)"

="mom_grade_seq2_d",="",="",="",="",="3.504***",="0.0178***",="0.658***",="0.453***",="-0.00242",="-0.0681***",="-0.0104***",="0.0852***",="1.829***"
="",="",="",="",="",="(41.52)",="(9.45)",="(9.55)",="(15.29)",="(-1.13)",="(-10.85)",="(-7.83)",="(27.15)",="(19.29)"

="momtest_seq2_d",="",="",="",="",="",="0.00344***",="0.127***",="0.0675***",="-0.000197",="-0.00963***",="0.000999***",="0.0114***",="0.290***"
="",="",="",="",="",="",="(12.45)",="(12.55)",="(15.56)",="(-0.62)",="(-10.45)",="(5.13)",="(24.85)",="(20.84)"

="spouse_yn_sim3_d",="",="",="",="",="",="",="",="",="0.0985",="-0.532**",="0.144***",="0.631***",="1.356"
="",="",="",="",="",="",="",="",="",="(1.73)",="(-3.20)",="(4.11)",="(7.60)",="(0.54)"

="spouse_age_sim3_d",="",="",="",="",="",="",="",="",="-0.00189",="0.00670",="0.00241**",="0.00455*",="0.0275"
="",="",="",="",="",="",="",="",="",="(-1.26)",="(1.53)",="(2.59)",="(2.07)",="(0.42)"

="spouse_grade_sim3_d",="",="",="",="",="",="",="",="",="-0.000529",="0.0000303",="0.00529***",="0.0111***",="0.125"
="",="",="",="",="",="",="",="",="",="(-0.34)",="(0.01)",="(5.52)",="(4.91)",="(1.83)"

="csex2_seq4_d",="",="",="",="",="",="",="",="",="",="-0.175***",="0.000141",="0.0268",="6.487***"
="",="",="",="",="",="",="",="",="",="",="(-4.83)",="(0.02)",="(1.48)",="(11.88)"

="childage_seq4_d",="",="",="",="",="",="",="",="",="",="",="0.00635*",="-0.0191**",="-5.753***"
="",="",="",="",="",="",="",="",="",="",="",="(2.43)",="(-3.09)",="(-30.79)"

="family_size_seq4_d",="",="",="",="",="",="",="",="",="",="",="",="0.0634*",="-8.290***"
="",="",="",="",="",="",="",="",="",="",="",="",="(2.17)",="(-9.37)"

="fincome_seq4_d",="",="",="",="",="",="",="",="",="",="",="",="",="1.374***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.67)"

="_cons",="3.10e-09",="-3.23e-09",="0.000000159",="9.98e-09",="-0.000000468",="5.67e-10",="0.000000327",="-0.000000136",="-1.21e-08",="-1.05e-09",="-2.75e-09",="4.54e-09",="57.80***"
="",="(0.00)",="(-0.00)",="(0.00)",="(0.00)",="(-0.00)",="(0.00)",="(0.00)",="(-0.00)",="(-0.00)",="(-0.00)",="(-0.00)",="(0.00)",="(211.93)"

="N",="6550",="6550",="6550",="6550",="6550",="6550",="6550",="6550",="6550",="6550",="6550",="6550",="6550"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
