test_pcntl	year2	year3	year4	year5	year6	year7	year8	year9	year10	year11	year12	year13	year14	year15	momrace1	momrace2	mage	mom_grade	momtest	spouse_yn	spouse_age	spouse_grade	csex2	childage	family_size	fincome	cpubid	momid
68	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	38	9	13	0	0	0	0	12	1.60944	-1.50376343	745901	7459
58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	12	22	0	0	0	0	8	.693147	-1.443326236	616101	6161
25	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	11	39	0	0	0	0	8	1.38629	-1.437070717	473001	4730
50	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	11	39	0	0	0	0	7	1.38629	-1.437070717	473002	4730
36	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	31	13	37	0	0	0	0	7	1.38629	-1.396629554	540802	5408
23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	45	12	33	0	0	0	0	13	1.09861	-1.359629078	588804	5888
82	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	34	12	7	0	0	0	0	6	1.38629	-1.35484802	666601	6666
64	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	31	12	25	0	0	0	1	8	1.60944	-1.353796205	154902	1549
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	12	25	0	0	0	0	7	1.38629	-1.3255432	398201	3982
58	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	14	32	0	0	0	0	9	1.09861	-1.32086057	438301	4383
21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	36	12	4	0	0	0	1	8	1.38629	-1.315507137	600203	6002
58	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	40	14	10	0	0	0	1	8	1.38629	-1.270386702	1018802	10188
78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	26	13	6	0	0	0	1	7	.693147	-1.261004679	1183201	11832
54	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27	12	29	0	0	0	0	6	1.38629	-1.257347164	1228201	12282
44	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	38	10	8	0	0	0	0	7	2.19722	-1.245739691	1219108	12191
11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	35	15	9	0	0	0	1	8	1.60944	-1.220322974	611402	6114
35	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	34	12	10	0	0	0	0	12	.693147	-1.214423252	864102	8641
92	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	35	12	31	0	0	0	0	8	1.38629	-1.206221683	359402	3594
82	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	12	5	0	0	0	0	6	1.09861	-1.1987102	399601	3996
19	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	48	10	6	0	0	0	1	10	.693147	-1.189543437	726311	7263
60	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	37	12	37	0	0	0	0	7	1.09861	-1.160240776	355501	3555
50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	9	12	0	0	0	1	8	1.60944	-1.159243686	109001	1090
60	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	33	12	9	0	0	0	0	7	1.38629	-1.147088486	137001	1370
2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	36	10	11	0	0	0	0	9	1.38629	-1.134665966	648204	6482
54	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	34	12	14	0	0	0	0	7	.693147	-1.118501029	79001	790
10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	31	11	1	1	39	12	1	8	2.48491	-1.102481777	279504	2795
77	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	31	12	6	0	0	0	0	7	1.60944	-1.068033705	621701	6217
79	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27	12	11	0	0	0	0	7	1.09861	-1.067362734	454101	4541
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	12	28	1	27	12	1	8	1.60944	-1.060788633	528601	5286
38	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	32	10	5	0	0	0	1	7	1.38629	-1.047362478	713902	7139
21	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	32	10	5	0	0	0	0	8	1.38629	-1.047362478	713901	7139
64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	10	32	0	0	0	0	9	1.60944	-1.037861128	200201	2002
97	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	35	12	53	0	0	0	1	8	1.38629	-1.021860201	1211502	12115
1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	44	12	4	0	0	0	0	12	1.79176	-1.019919405	636506	6365
21	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	44	10	6	0	0	0	0	8	.693147	-1.019919405	726310	7263
34	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	48	10	5	0	0	0	0	7	1.09861	-1.007221881	103304	1033
52	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	30	0	5	0	0	0	0	7	1.09861	-.9891530916	268101	2681
79	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	12	37	0	0	0	1	11	1.09861	-.9890831773	1210801	12108
57	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	44	9	7	1	42	12	0	8	1.38629	-.9880014946	22704	227
57	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	33	9	13	0	0	0	0	9	1.09861	-.9831962761	870503	8705
88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	13	54	0	0	0	0	9	1.09861	-.9795922198	221701	2217
8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	40	13	2	0	0	0	1	9	1.79176	-.9788512238	708904	7089
45	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	39	13	2	0	0	0	0	6	1.79176	-.9788512238	708905	7089
42	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	37	13	9	0	0	0	0	8	1.09861	-.964766929	182903	1829
42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	12	11	0	0	0	0	7	1.38629	-.9589534358	546201	5462
94	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	41	12	50	0	0	0	1	6	.693147	-.9541639699	323601	3236
82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	9	5	0	0	0	1	6	0	-.9486299942	474101	4741
2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	35	11	4	0	0	0	0	9	.693147	-.9335913115	276903	2769
58	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	34	12	16	0	0	0	1	7	1.09861	-.9266259246	227101	2271
22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	11	27	0	0	0	1	7	1.09861	-.9262450932	77002	770
28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	36	12	16	1	34	11	0	7	1.79176	-.9182479378	1197903	11979
54	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	51	16	32	0	0	0	1	14	.693147	-.914844886	983102	9831
69	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	40	16	7	0	0	0	1	11	.693147	-.9120165635	749702	7497
34	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	33	12	10	0	0	0	0	12	1.60944	-.8850042499	1018102	10181
44	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	33	12	10	0	0	0	0	13	1.60944	-.8850042499	1018101	10181
40	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	36	13	11	0	0	0	1	8	1.09861	-.8758535992	956702	9567
93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	12	19	0	0	0	0	6	2.07944	-.8757422784	851002	8510
84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	12	19	0	0	0	1	8	2.07944	-.8757422784	851001	8510
82	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	33	9	8	0	0	0	1	6	1.09861	-.8355839966	861402	8614
68	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	24	12	21	0	0	0	0	6	1.60944	-.8265642478	76401	764
54	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	12	52	0	0	0	1	6	1.09861	-.8265642478	519501	5195
62	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	39	11	1	0	0	0	0	9	.693147	-.8221106286	1255801	12558
32	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	34	9	11	0	0	0	1	8	1.60944	-.8147997045	625803	6258
73	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	34	9	8	0	0	0	0	9	.693147	-.8147997045	275702	2757
27	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	34	6	2	0	0	0	0	14	1.09861	-.809812163	1038301	10383
56	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	34	6	2	0	0	0	1	12	1.09861	-.809812163	1038302	10383
38	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	28	12	8	0	0	0	0	7	.693147	-.799911092	847701	8477
36	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	42	14	8	0	0	0	1	7	1.09861	-.796529667	1012502	10125
76	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	42	12	16	0	0	0	1	11	.693147	-.7718424131	795101	7951
7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	34	10	8	0	0	0	0	9	2.07944	-.7700228522	1219105	12191
47	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	34	10	8	0	0	0	0	8	2.07944	-.7700228522	1219106	12191
80	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	28	14	22	1	34	16	0	8	1.79176	-.7660095403	421201	4212
79	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	27	14	22	1	34	16	0	6	1.79176	-.7660095403	421202	4212
49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	24	13	21	0	0	0	1	9	1.09861	-.7501790554	781401	7814
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	12	29	0	0	0	1	9	.693147	-.7501790554	119901	1199
47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	12	29	0	0	0	1	10	.693147	-.7501790554	392901	3929
1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	35	12	2	0	0	0	0	7	1.09861	-.74764145	744601	7446
74	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	47	11	3	0	0	0	0	7	1.09861	-.7449458492	508903	5089
77	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	28	12	38	0	0	0	0	10	.693147	-.7439235364	917401	9174
80	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	36	11	13	0	0	0	1	8	1.38629	-.7416233777	1214603	12146
40	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	33	12	5	0	0	0	1	8	1.38629	-.7332197175	864901	8649
1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	40	12	7	0	0	0	0	11	0	-.7319911458	717003	7170
61	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	43	13	9	0	0	0	1	6	1.09861	-.7053795768	182904	1829
62	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	13	8	0	0	0	1	7	1.09861	-.7031015419	898501	8985
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	10	3	0	0	0	1	7	1.38629	-.6956908702	139102	1391
7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	42	12	3	0	0	0	0	11	2.30259	-.6861239027	640801	6408
5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	42	12	3	0	0	0	1	10	2.30259	-.6861239027	640802	6408
82	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	33	11	1	0	0	0	1	8	1.38629	-.6770848565	987401	9874
81	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	43	11	35	0	0	0	0	7	1.09861	-.6707409543	265103	2651
74	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	10	13	0	0	0	1	8	1.09861	-.6677343981	122602	1226
70	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	42	12	13	0	0	0	0	12	1.09861	-.6664818974	640502	6405
28	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	39	15	9	0	0	0	0	8	.693147	-.6642616601	1219301	12193
14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30	12	9	0	0	0	1	7	.693147	-.6577959557	252802	2528
91	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	38	12	13	0	0	0	0	10	.693147	-.648994188	259903	2599
51	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	33	13	16	0	0	0	1	7	1.60944	-.6415469228	624302	6243
49	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	43	15	36	0	0	0	1	9	1.09861	-.6163313511	607603	6076
5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	33	13	17	0	0	0	1	9	1.09861	-.6118588605	1059001	10590
2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	32	11	1	0	0	0	0	9	1.09861	-.6045424254	600703	6007
5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	24	13	10	0	0	0	0	8	1.09861	-.6034206965	834301	8343
63	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	41	17	72	0	0	0	0	7	1.09861	-.6014069864	487002	4870
44	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	42	10	3	0	0	0	1	7	1.09861	-.5994089837	840501	8405
28	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	35	15	27	0	0	0	1	7	1.09861	-.5973221774	934102	9341
38	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	31	12	48	0	0	0	1	10	0	-.5916561532	843402	8434
