"C0000100","C0000200","C0005300","C0005400","C0005500","C0005700","C0005701","C0005702","C0007000","C0054101","C0057501","C0058701","C0059901","C0061100","C0061112","C0061116","C0061120","C0061122","C0061124","C0061126","C0061128","C0061130","C0061132","C0093100","C0093110","C0093200","C0093800","C0099300","C0099310","C0099400","C0100000","C0105500","C0105510","C0105600","C0106200","C0111700","C0111710","C0111800","C0112400","C0119400","C0120000","C0120010","C0120100","C0125800","C0126400","C0126500","C0126600","C0127617","C0127623","C0127624","C0127625","C0127917","C0127923","C0127924","C0127925","C0128017","C0128023","C0128024","C0128025","C0580600","C0800100","C0999300","C1199300","C1508300","C1565200","C1800600","C1988000","C1988500","C1988600","C1988700","C2494000","C2494500","C2494600","C2494700","C2504200","C2521800","C2522300","C2522400","C2522500","C2532700","C2792300","C2792800","C2792900","C2793000","C2803500","C3101800","C3102300","C3102400","C3102500","C3112000","C3602400","C3604100","C3604600","C3604700","C3604800","C3615700","C3982400","C3984100","C3984600","C3984700","C3984800","C3994300","C5526200","C5528000","C5528500","C5528600","C5528700","C5538300","C5802500","C5804300","C5804800","C5804900","C5805000","C5814100","Y2267000","Y3299900"
594102,5941,2,2,8,1983,-7,-7,24,13,13,13,13,12,12,12,12,12,12,13,13,12,13,0,-7,-7,1,0,-7,-7,1,0,-7,-7,2,0,-7,-7,2,3,1,33,12,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,-7,95,58,-3,72,30,-7,3,0,-7,-7,3,0,-7,-7,-7,3,0,-7,-7,-7,3,0,-7,-7,-7,3,1,50,12,-7,13,3,1,52,12,-7,14,3,1,54,12,-7,15,1,0,-7,-7,-7,15,1,0,-7,-7,-7,512,-7
594103,5941,2,2,1,1990,-7,-7,30,13,13,13,13,12,12,12,12,12,12,13,13,12,13,0,-7,-7,1,0,-7,-7,1,0,-7,-7,2,0,-7,-7,2,3,1,33,12,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,-7,-7,-7,-7,-7,-7,77,3,0,-7,-7,3,0,-7,-7,47,3,0,-7,-7,40,3,0,-7,-7,5,3,1,50,12,-7,13,3,1,52,12,-7,14,3,1,54,12,-7,15,1,0,-7,-7,-7,15,1,0,-7,-7,-7,512,4
594401,5944,2,1,9,1979,-7,-7,17,10,11,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,-7,-7,6,0,-7,-7,6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,512,-7
594701,5947,1,1,4,1979,-7,-7,22,6,6,6,6,-7,-7,6,6,-7,-7,-7,-7,6,6,0,-7,-7,5,0,-7,-7,1,0,-7,-7,5,1,27,9,6,-7,-7,-7,-7,-7,-7,-7,-7,6,1,33,9,6,1,35,9,-7,-7,-7,-7,-3,-7,-7,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,6,1,46,9,-7,3,1,47,9,-7,6,3,1,50,9,-7,6,4,1,51,9,-7,6,5,1,54,9,-7,6,5,1,57,9,-7,512,-7
594702,5947,1,1,10,1980,-7,-7,23,6,6,6,6,-7,-7,6,6,-7,-7,-7,-7,6,6,0,-7,-7,5,0,-7,-7,1,0,-7,-7,5,1,27,9,6,-7,-7,-7,-7,-7,-7,-7,-7,6,1,33,9,6,1,35,9,-7,-7,-7,-7,-7,-7,-7,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,6,1,46,9,-7,3,1,47,9,-7,6,3,1,50,9,-7,6,4,1,51,9,-7,6,5,1,54,9,-7,6,5,1,57,9,-7,512,-7
594703,5947,1,2,4,1986,-7,-7,29,6,6,6,6,-7,-7,6,6,-7,-7,-7,-7,6,6,0,-7,-7,5,0,-7,-7,1,0,-7,-7,5,1,27,9,6,-7,-7,-7,-7,-7,-7,-7,-7,6,1,33,9,6,1,35,9,-7,-7,-7,-7,-7,-7,-7,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,6,1,46,9,-7,3,1,47,9,-7,6,3,1,50,9,-7,6,4,1,51,9,-7,6,5,1,54,9,-7,6,5,1,57,9,-7,512,-7
594704,5947,1,1,10,1987,-7,-7,30,6,6,6,6,-7,-7,6,6,-7,-7,-7,-7,6,6,0,-7,-7,5,0,-7,-7,1,0,-7,-7,5,1,27,9,6,-7,-7,-7,-7,-7,-7,-7,-7,6,1,33,9,6,1,35,9,-7,-7,-7,-7,-7,-7,-7,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,6,1,46,9,-7,3,1,47,9,-7,6,3,1,50,9,-7,6,4,1,51,9,-7,6,5,1,54,9,-7,6,5,1,57,9,-7,512,-7
594801,5948,1,1,1,1979,-7,-7,21,12,12,12,12,12,12,12,12,12,12,-7,-7,-7,12,1,23,10,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,2,2,0,-7,-7,1,0,-7,-7,2,1,54,12,2,1,56,12,1,0,-7,-7,44,41,-7,-7,-7,-7,-7,1,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,0,-7,-7,-7,12,1,0,-7,-7,-7,12,1,0,-7,-7,-7,12,1,0,-7,-7,-7,12,1,0,-7,-7,-7,512,-7
594802,5948,1,2,9,1980,-7,-7,23,12,12,12,12,12,12,12,12,12,12,-7,-7,-7,12,1,23,10,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,2,2,0,-7,-7,1,0,-7,-7,2,1,54,12,2,1,56,12,1,0,-7,-7,-3,-3,-7,-7,-7,-7,-7,1,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,0,-7,-7,-7,12,1,0,-7,-7,-7,12,1,0,-7,-7,-7,12,1,0,-7,-7,-7,12,1,0,-7,-7,-7,512,-7
595101,5951,2,1,10,1979,-7,-7,18,9,-7,9,9,9,9,9,9,9,10,10,10,10,10,1,23,11,4,-7,-7,-7,-7,1,28,11,4,1,30,11,6,6,1,32,11,6,1,32,11,6,1,34,1,6,1,36,1,6,1,39,12,-3,22,7,13,-7,-7,-7,6,1,41,12,4,0,-7,-7,-7,5,1,45,12,-7,5,1,47,12,-7,2,1,49,12,-7,10,2,1,51,12,-7,5,2,0,-7,-7,-7,10,8,0,-7,-7,-7,10,3,0,-7,-7,-7,512,-7
