"C0000100","C0000200","C0005300","C0005400","C0005500","C0005700","C0005701","C0005702","C0007000","C0054101","C0057501","C0058701","C0059901","C0061100","C0061112","C0061116","C0061120","C0061122","C0061124","C0061126","C0061128","C0061130","C0061132","C0093100","C0093110","C0093200","C0093800","C0099300","C0099310","C0099400","C0100000","C0105500","C0105510","C0105600","C0106200","C0111700","C0111710","C0111800","C0112400","C0119400","C0120000","C0120010","C0120100","C0125800","C0126400","C0126500","C0126600","C0127617","C0127623","C0127624","C0127625","C0127917","C0127923","C0127924","C0127925","C0128017","C0128023","C0128024","C0128025","C0580600","C0800100","C0999300","C1199300","C1508300","C1565200","C1800600","C1988000","C1988500","C1988600","C1988700","C2494000","C2494500","C2494600","C2494700","C2504200","C2521800","C2522300","C2522400","C2522500","C2532700","C2792300","C2792800","C2792900","C2793000","C2803500","C3101800","C3102300","C3102400","C3102500","C3112000","C3602400","C3604100","C3604600","C3604700","C3604800","C3615700","C3982400","C3984100","C3984600","C3984700","C3984800","C3994300","C5526200","C5528000","C5528500","C5528600","C5528700","C5538300","C5802500","C5804300","C5804800","C5804900","C5805000","C5814100","Y2267000","Y3299900"
201,2,3,2,3,1993,-7,-7,34,9,9,9,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,5,0,-7,-7,5,0,-7,-7,5,0,-7,-7,5,1,0,-7,-7,1,0,-7,-7,3,1,45,9,4,1,47,9,5,1,49,9,-7,-7,-7,-7,-7,-7,-7,5,1,51,9,5,1,53,9,70,5,1,55,9,15,5,1,57,9,28,4,1,59,9,-3,13,4,1,61,9,-7,13,4,1,63,9,-7,13,3,1,66,9,-7,13,4,1,69,9,-7,512,-7
202,2,3,2,11,1994,-7,-7,35,9,9,9,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,5,0,-7,-7,5,0,-7,-7,5,0,-7,-7,5,1,0,-7,-7,1,0,-7,-7,3,1,45,9,4,1,47,9,5,1,49,9,-7,-7,-7,-7,-7,-7,-7,5,1,51,9,5,1,53,9,-7,5,1,55,9,72,5,1,57,9,59,4,1,59,9,-3,13,4,1,61,9,-3,13,4,1,63,9,-7,13,3,1,66,9,-7,13,4,1,69,9,-7,512,-7
301,3,3,2,6,1981,-7,-7,19,10,10,10,10,10,10,10,13,13,13,13,13,-7,13,0,-7,-7,1,1,21,12,3,1,23,12,4,1,25,12,4,5,1,27,12,5,1,30,12,5,1,31,12,5,1,34,12,5,1,35,12,-7,87,-3,51,58,-7,-7,5,1,37,12,3,1,39,13,-7,4,1,41,13,-7,-7,-7,-7,-7,-7,2,1,45,13,-7,12,2,1,48,13,-7,-7,-7,-7,-7,-7,-7,12,2,1,52,13,-7,12,2,1,55,13,-7,512,-7
302,3,3,2,10,1983,-7,-7,22,10,10,10,10,10,10,10,13,13,13,13,13,-7,13,0,-7,-7,1,1,21,12,3,1,23,12,4,1,25,12,4,5,1,27,12,5,1,30,12,5,1,31,12,5,1,34,12,5,1,35,12,-7,-7,-3,65,55,39,-7,5,1,37,12,3,1,39,13,-7,4,1,41,13,-7,-7,-7,-7,-7,-7,2,1,45,13,-7,12,2,1,48,13,-7,-7,-7,-7,-7,-7,-7,12,2,1,52,13,-7,12,2,1,55,13,-7,512,-7
303,3,3,2,4,1986,-7,-7,24,10,10,10,10,10,10,10,13,13,13,13,13,-7,13,0,-7,-7,1,1,21,12,3,1,23,12,4,1,25,12,4,5,1,27,12,5,1,30,12,5,1,31,12,5,1,34,12,5,1,35,12,-7,-7,-7,-7,7,2,6,5,1,37,12,3,1,39,13,6,4,1,41,13,-7,-7,-7,-7,-7,-7,2,1,45,13,-7,12,2,1,48,13,-7,-7,-7,-7,-7,-7,-7,12,2,1,52,13,-7,12,2,1,55,13,-7,512,-7
401,4,3,1,8,1980,-7,-7,18,-7,9,13,14,14,14,14,-7,14,14,-7,-7,-7,-7,-7,-7,-7,-7,1,24,12,3,0,-7,-7,2,0,-7,-7,2,2,0,-7,-7,2,0,-7,-7,2,0,-7,-7,-7,-7,-7,-7,3,1,33,13,-7,-3,75,-7,-7,-7,-7,4,1,36,13,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,512,-7
403,4,3,2,3,1997,-7,-7,34,-7,9,13,14,14,14,14,-7,14,14,-7,-7,-7,-7,-7,-7,-7,-7,1,24,12,3,0,-7,-7,2,0,-7,-7,2,2,0,-7,-7,2,0,-7,-7,2,0,-7,-7,-7,-7,-7,-7,3,1,33,13,-7,-7,-7,-7,-7,-7,-7,4,1,36,13,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,512,-7
801,8,3,2,3,1976,-7,-7,17,12,12,12,12,12,12,12,12,12,13,13,14,14,14,1,23,12,4,1,25,12,4,1,27,12,5,1,29,12,5,4,0,-7,-7,4,0,-7,-7,4,0,-7,-7,3,0,-7,-7,3,0,-7,-7,90,80,46,41,-7,-7,-7,3,0,-7,-7,5,0,-7,-7,-7,2,0,-7,-7,-7,3,0,-7,-7,-7,1,0,-7,-7,-7,14,2,1,49,12,-7,14,2,1,51,12,-7,14,3,1,54,12,-7,14,2,1,57,12,-7,512,-7
802,8,3,1,5,1979,-7,-7,20,12,12,12,12,12,12,12,12,12,13,13,14,14,14,1,23,12,4,1,25,12,4,1,27,12,5,1,29,12,5,4,0,-7,-7,4,0,-7,-7,4,0,-7,-7,3,0,-7,-7,3,0,-7,-7,60,83,81,32,-7,-7,-7,3,0,-7,-7,5,0,-7,-7,-7,2,0,-7,-7,-7,3,0,-7,-7,-7,1,0,-7,-7,-7,14,2,1,49,12,-7,14,2,1,51,12,-7,14,3,1,54,12,-7,14,2,1,57,12,-7,512,-7
803,8,3,2,9,1982,-7,-7,24,12,12,12,12,12,12,12,12,12,13,13,14,14,14,1,23,12,4,1,25,12,4,1,27,12,5,1,29,12,5,4,0,-7,-7,4,0,-7,-7,4,0,-7,-7,3,0,-7,-7,3,0,-7,-7,-7,94,80,77,33,36,-7,3,0,-7,-7,5,0,-7,-7,-7,2,0,-7,-7,-7,3,0,-7,-7,-7,1,0,-7,-7,-7,14,2,1,49,12,-7,14,2,1,51,12,-7,14,3,1,54,12,-7,14,2,1,57,12,-7,512,-7
1001,10,3,2,1,1983,-7,-7,22,9,9,9,-7,9,9,9,9,-7,-7,-7,-7,-7,-7,0,-7,-7,4,0,-7,-7,4,1,23,12,3,-7,-7,-7,-7,4,1,27,12,7,1,29,12,7,1,31,12,6,1,33,12,-7,-7,-7,-7,-7,93,51,-3,76,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,512,-7
1002,10,3,2,7,1988,-7,-7,27,9,9,9,-7,9,9,9,9,-7,-7,-7,-7,-7,-7,0,-7,-7,4,0,-7,-7,4,1,23,12,3,-7,-7,-7,-7,4,1,27,12,7,1,29,12,7,1,31,12,6,1,33,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,512,-7
1201,12,3,1,10,1989,-7,-7,30,14,16,16,-7,-7,-7,-7,16,-7,-7,-7,-7,-7,-7,0,-7,-7,3,0,-7,-7,3,1,26,12,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,1,37,14,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,512,-7
1202,12,3,1,8,1993,-7,-7,33,14,16,16,-7,-7,-7,-7,16,-7,-7,-7,-7,-7,-7,0,-7,-7,3,0,-7,-7,3,1,26,12,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,1,37,14,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,512,-7
1601,16,3,1,2,1990,9,2017,31,12,12,13,13,13,13,13,13,13,13,13,13,13,13,0,-7,-7,1,0,-7,-7,4,0,-7,-7,4,0,-7,-7,1,2,1,30,15,3,1,32,16,3,1,34,16,4,1,36,16,4,1,38,16,-7,-7,-7,-7,-7,-7,97,5,1,40,16,5,1,42,16,89,5,1,44,16,69,5,1,46,16,93,5,1,47,16,-7,13,4,0,-7,-7,-7,13,4,0,-7,-7,-7,13,4,0,-7,-7,-7,13,4,0,-7,-7,-7,512,-7
1602,16,3,1,8,1993,-7,-7,34,12,12,13,13,13,13,13,13,13,13,13,13,13,13,0,-7,-7,1,0,-7,-7,4,0,-7,-7,4,0,-7,-7,1,2,1,30,15,3,1,32,16,3,1,34,16,4,1,36,16,4,1,38,16,-7,-7,-7,-7,-7,-7,-7,5,1,40,16,5,1,42,16,-7,5,1,44,16,84,5,1,46,16,51,5,1,47,16,26,13,4,0,-7,-7,-7,13,4,0,-7,-7,-7,13,4,0,-7,-7,-7,13,4,0,-7,-7,-7,512,-7
1603,16,3,2,9,1996,-7,-7,37,12,12,13,13,13,13,13,13,13,13,13,13,13,13,0,-7,-7,1,0,-7,-7,4,0,-7,-7,4,0,-7,-7,1,2,1,30,15,3,1,32,16,3,1,34,16,4,1,36,16,4,1,38,16,-7,-7,-7,-7,-7,-7,-7,5,1,40,16,5,1,42,16,-7,5,1,44,16,98,5,1,46,16,54,5,1,47,16,59,13,4,0,-7,-7,25,13,4,0,-7,-7,25,13,4,0,-7,-7,-7,13,4,0,-7,-7,-7,512,1
1901,19,3,2,11,1987,-7,-7,29,12,12,12,12,12,12,12,12,-7,12,-7,-7,-7,12,0,-7,-7,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,3,3,1,40,12,2,0,-7,-7,2,0,-7,-7,2,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,61,-7,31,2,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,1,51,12,-7,-7,-7,-7,-7,-7,-7,12,2,1,54,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,512,-7
2001,20,3,2,8,1990,-7,-7,30,14,15,15,15,16,16,16,16,16,16,16,16,16,16,0,-7,-7,5,0,-7,-7,5,0,-7,-7,1,0,-7,-7,1,2,1,-3,-3,3,1,39,16,3,1,41,16,3,1,43,16,3,1,45,16,-7,-7,-7,-7,-7,-7,97,3,1,48,16,3,1,50,16,96,3,1,51,16,84,3,1,53,16,98,3,1,55,16,-7,16,3,1,57,16,-7,-7,-7,-7,-7,-7,-7,17,3,1,59,16,-7,17,3,1,62,16,-7,512,5
2501,25,3,1,10,1990,-7,-7,30,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,-7,-7,1,0,-7,-7,1,0,-7,-7,1,0,-7,-7,1,2,1,30,16,2,1,32,16,3,1,34,16,4,1,36,16,4,1,38,16,-7,-7,-7,-7,-7,-7,65,4,1,40,16,4,1,42,16,85,4,1,44,16,79,4,1,46,16,59,4,1,48,16,-7,14,4,1,50,16,-7,14,4,1,52,16,-7,14,4,1,55,16,-7,14,3,1,58,16,-7,512,-7
2502,25,3,2,8,1993,-7,-7,33,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,-7,-7,1,0,-7,-7,1,0,-7,-7,1,0,-7,-7,1,2,1,30,16,2,1,32,16,3,1,34,16,4,1,36,16,4,1,38,16,-7,-7,-7,-7,-7,-7,-7,4,1,40,16,4,1,42,16,90,4,1,44,16,68,4,1,46,16,18,4,1,48,16,-3,14,4,1,50,16,-7,14,4,1,52,16,-7,14,4,1,55,16,-7,14,3,1,58,16,-7,512,-7
2701,27,3,2,2,1988,-7,-7,27,13,13,13,13,16,16,16,16,16,16,16,16,16,16,0,-7,-7,0,0,-7,-7,4,0,-7,-7,3,1,26,16,2,3,1,28,16,3,1,30,16,4,1,32,16,4,1,34,16,4,1,36,16,-7,-7,-7,-7,84,91,75,4,1,38,16,4,1,40,16,76,4,1,42,16,94,4,1,44,16,-7,4,1,46,16,-7,16,4,1,48,16,-7,16,4,1,50,16,-7,16,3,1,53,16,-7,16,2,0,-7,-7,-7,512,-7
2702,27,3,1,1,1992,-7,-7,31,13,13,13,13,16,16,16,16,16,16,16,16,16,16,0,-7,-7,0,0,-7,-7,4,0,-7,-7,3,1,26,16,2,3,1,28,16,3,1,30,16,4,1,32,16,4,1,34,16,4,1,36,16,-7,-7,-7,-7,-7,-7,64,4,1,38,16,4,1,40,16,73,4,1,42,16,39,4,1,44,16,67,4,1,46,16,75,16,4,1,48,16,-7,16,4,1,50,16,-7,16,3,1,53,16,-7,16,2,0,-7,-7,-7,512,-2
3001,30,3,1,12,1982,-7,-7,24,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,4,1,31,12,3,1,32,12,4,1,35,12,4,4,1,37,12,4,1,39,12,5,1,41,12,5,1,42,12,5,1,44,12,-7,-3,-3,-3,-3,-3,-7,5,1,46,12,5,1,48,12,-7,5,1,52,12,-7,5,1,54,12,-7,5,1,56,12,-7,14,4,1,58,12,-7,14,5,1,60,12,-7,14,5,1,63,12,-7,14,4,1,66,12,-7,512,-7
3002,30,3,1,3,1987,-7,-7,28,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,4,1,31,12,3,1,32,12,4,1,35,12,4,4,1,37,12,4,1,39,12,5,1,41,12,5,1,42,12,5,1,44,12,-7,-7,-7,-3,-3,-3,-3,5,1,46,12,5,1,48,12,-3,5,1,52,12,-7,5,1,54,12,-7,5,1,56,12,-7,14,4,1,58,12,-7,14,5,1,60,12,-7,14,5,1,63,12,-7,14,4,1,66,12,-7,512,-7
3003,30,3,1,10,1991,-7,-7,32,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,4,1,31,12,3,1,32,12,4,1,35,12,4,4,1,37,12,4,1,39,12,5,1,41,12,5,1,42,12,5,1,44,12,-7,-7,-7,-7,-7,-7,-3,5,1,46,12,5,1,48,12,-3,5,1,52,12,-3,5,1,54,12,-3,5,1,56,12,-7,14,4,1,58,12,-7,14,5,1,60,12,-7,14,5,1,63,12,-7,14,4,1,66,12,-7,512,-7
3501,35,3,2,5,1990,-7,-7,26,10,12,13,13,13,13,13,13,13,13,-7,-7,-7,-7,0,-7,-7,3,0,-7,-7,4,0,-7,-7,4,0,-7,-7,3,2,1,26,12,3,1,28,12,3,1,30,12,4,1,32,12,4,1,34,12,-7,-7,-7,-7,-7,-3,78,4,1,36,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,512,-7
3502,35,3,2,6,1993,-7,-7,29,10,12,13,13,13,13,13,13,13,13,-7,-7,-7,-7,0,-7,-7,3,0,-7,-7,4,0,-7,-7,4,0,-7,-7,3,2,1,26,12,3,1,28,12,3,1,30,12,4,1,32,12,4,1,34,12,-7,-7,-7,-7,-7,-7,-7,4,1,36,12,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,512,-7
3701,37,3,2,4,1990,-7,-7,31,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,4,1,28,12,2,1,30,12,3,1,32,12,3,3,1,34,12,4,1,36,12,4,1,38,12,3,1,40,12,3,1,42,12,-7,-7,-7,-7,-7,-7,97,3,1,44,12,3,1,46,12,-7,3,1,48,12,76,3,1,50,12,-7,3,1,51,12,-7,12,3,1,54,12,-7,12,3,1,56,12,-7,12,3,1,59,12,-7,12,3,1,62,12,-7,512,-7
4301,43,3,2,10,1982,-7,-7,21,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,1,0,-7,-7,4,0,-7,-7,5,0,-7,-7,5,5,0,-7,-7,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,-7,-7,27,43,44,12,-7,5,1,39,8,5,1,41,8,-7,5,1,42,8,-7,4,0,-7,-7,-7,4,0,-7,-7,-7,12,4,0,-7,-7,-7,12,4,0,-7,-7,-7,12,4,0,-7,-7,-7,12,5,0,-7,-7,-7,512,-7
4302,43,3,2,2,1989,-7,-7,27,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,1,0,-7,-7,4,0,-7,-7,5,0,-7,-7,5,5,0,-7,-7,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,-7,-7,-7,-7,-7,-7,12,5,1,39,8,5,1,41,8,12,5,1,42,8,32,4,0,-7,-7,-7,4,0,-7,-7,-7,12,4,0,-7,-7,-7,12,4,0,-7,-7,-7,12,4,0,-7,-7,-7,12,5,0,-7,-7,-7,512,-2
4303,43,3,2,2,1997,-7,-7,35,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,1,0,-7,-7,4,0,-7,-7,5,0,-7,-7,5,5,0,-7,-7,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,5,1,39,8,5,1,41,8,-7,5,1,42,8,-7,4,0,-7,-7,51,4,0,-7,-7,54,12,4,0,-7,-7,6,12,4,0,-7,-7,16,12,4,0,-7,-7,-7,12,5,0,-7,-7,-7,512,1
4304,43,3,2,4,2000,-7,-7,38,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,1,0,-7,-7,4,0,-7,-7,5,0,-7,-7,5,5,0,-7,-7,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,5,1,39,8,5,1,41,8,-7,5,1,42,8,-7,4,0,-7,-7,-7,4,0,-7,-7,-7,12,4,0,-7,-7,32,12,4,0,-7,-7,21,12,4,0,-7,-7,11,12,5,0,-7,-7,19,512,-7
4401,44,3,2,9,1981,-7,-7,20,12,12,12,12,12,12,12,-7,12,12,12,12,12,12,0,-7,-7,3,1,20,12,3,1,22,12,3,1,24,12,4,4,1,27,12,4,1,29,12,4,1,31,12,-7,-7,-7,-7,4,1,35,12,-7,84,94,68,-7,-7,-7,4,1,37,12,4,1,39,12,-7,4,1,41,12,-7,3,1,42,12,-7,2,1,45,12,-7,12,2,1,46,12,-7,12,2,1,48,12,-7,12,2,1,51,12,-7,12,2,1,54,12,-7,512,-7
4402,44,3,2,7,1985,-7,-7,24,12,12,12,12,12,12,12,-7,12,12,12,12,12,12,0,-7,-7,3,1,20,12,3,1,22,12,3,1,24,12,4,4,1,27,12,4,1,29,12,4,1,31,12,-7,-7,-7,-7,4,1,35,12,-7,-7,-7,98,-7,96,75,4,1,37,12,4,1,39,12,-7,4,1,41,12,-7,3,1,42,12,-7,2,1,45,12,-7,12,2,1,46,12,-7,12,2,1,48,12,-7,12,2,1,51,12,-7,12,2,1,54,12,-7,512,-7
4601,46,3,2,4,1994,-7,-7,31,10,12,14,16,16,17,19,19,19,19,19,19,19,19,0,-7,-7,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,1,1,0,-7,-7,2,1,37,14,2,1,39,14,3,1,41,14,3,1,43,14,-7,-7,-7,-7,-7,-7,-7,3,1,45,14,4,1,47,14,-7,4,1,49,14,47,4,1,51,14,36,4,1,53,14,-3,16,4,1,54,14,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,512,-7
4602,46,3,2,7,1997,-7,-7,34,10,12,14,16,16,17,19,19,19,19,19,19,19,19,0,-7,-7,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,1,1,0,-7,-7,2,1,37,14,2,1,39,14,3,1,41,14,3,1,43,14,-7,-7,-7,-7,-7,-7,-7,3,1,45,14,4,1,47,14,-7,4,1,49,14,-7,4,1,51,14,99,4,1,53,14,-3,16,4,1,54,14,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,512,-7
4901,49,3,1,12,1982,-7,-7,24,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1,24,14,2,1,26,14,2,1,28,14,3,1,30,14,3,4,1,32,14,4,1,34,14,4,1,35,14,4,1,38,14,4,1,40,14,-7,-3,75,89,86,78,-7,4,1,42,14,4,1,44,14,-7,4,1,46,14,-7,3,1,48,14,-7,3,1,50,14,-7,14,3,1,52,14,-7,14,3,1,53,14,-7,14,3,1,56,14,-7,14,2,1,59,14,-7,512,-7
4902,49,3,1,3,1987,-7,-7,28,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1,24,14,2,1,26,14,2,1,28,14,3,1,30,14,3,4,1,32,14,4,1,34,14,4,1,35,14,4,1,38,14,4,1,40,14,-7,-7,-7,-3,-3,32,9,4,1,42,14,4,1,44,14,18,4,1,46,14,-7,3,1,48,14,-7,3,1,50,14,-7,14,3,1,52,14,-7,14,3,1,53,14,-7,14,3,1,56,14,-7,14,2,1,59,14,-7,512,-7
5001,50,3,1,7,1985,-7,-7,26,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,3,0,-7,-7,2,0,-7,-7,2,0,-7,-7,2,4,1,34,12,4,1,36,12,4,1,37,12,5,1,39,12,5,1,41,12,-7,-7,-7,87,84,47,70,5,1,43,12,5,1,46,12,-7,5,1,48,12,-7,4,1,49,12,-7,4,1,52,12,-7,12,4,1,54,12,-7,12,4,1,56,12,-7,12,4,1,58,12,-7,12,4,1,61,12,-7,512,-7
5002,50,3,1,7,1988,-7,-7,29,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,3,0,-7,-7,2,0,-7,-7,2,0,-7,-7,2,4,1,34,12,4,1,36,12,4,1,37,12,5,1,39,12,5,1,41,12,-7,-7,-7,-7,-7,96,74,5,1,43,12,5,1,46,12,75,5,1,48,12,42,4,1,49,12,-7,4,1,52,12,-7,12,4,1,54,12,-7,12,4,1,56,12,-7,12,4,1,58,12,-7,12,4,1,61,12,-7,512,-7
5003,50,3,1,6,1990,6,1990,31,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,3,0,-7,-7,2,0,-7,-7,2,0,-7,-7,2,4,1,34,12,4,1,36,12,4,1,37,12,5,1,39,12,5,1,41,12,-7,-7,-7,-7,-7,-7,-7,5,1,43,12,5,1,46,12,-7,5,1,48,12,-7,4,1,49,12,-7,4,1,52,12,-7,12,4,1,54,12,-7,12,4,1,56,12,-7,12,4,1,58,12,-7,12,4,1,61,12,-7,512,-7
5004,50,3,1,6,1990,6,1990,31,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,3,0,-7,-7,2,0,-7,-7,2,0,-7,-7,2,4,1,34,12,4,1,36,12,4,1,37,12,5,1,39,12,5,1,41,12,-7,-7,-7,-7,-7,-7,-7,5,1,43,12,5,1,46,12,-7,5,1,48,12,-7,4,1,49,12,-7,4,1,52,12,-7,12,4,1,54,12,-7,12,4,1,56,12,-7,12,4,1,58,12,-7,12,4,1,61,12,-7,512,-7
5005,50,3,2,11,1992,-7,-7,34,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,-7,-7,3,0,-7,-7,2,0,-7,-7,2,0,-7,-7,2,4,1,34,12,4,1,36,12,4,1,37,12,5,1,39,12,5,1,41,12,-7,-7,-7,-7,-7,-7,-7,5,1,43,12,5,1,46,12,66,5,1,48,12,83,4,1,49,12,48,4,1,52,12,29,12,4,1,54,12,-7,12,4,1,56,12,-7,12,4,1,58,12,-7,12,4,1,61,12,-7,512,-7
5701,57,3,1,7,1979,-7,-7,21,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,29,12,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,2,2,0,-7,-7,2,0,-7,-7,2,0,-7,-7,2,1,35,12,3,1,37,12,-3,99,95,93,-7,-7,-7,4,1,39,12,4,1,41,12,-7,4,1,43,12,-7,4,1,44,13,-7,4,1,46,13,-7,12,4,1,48,13,-7,12,3,0,-7,-7,-7,12,3,0,-7,-7,-7,12,3,0,-7,-7,-7,512,-7
5702,57,3,1,10,1995,-7,-7,37,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,29,12,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,2,2,0,-7,-7,2,0,-7,-7,2,0,-7,-7,2,1,35,12,3,1,37,12,-7,-7,-7,-7,-7,-7,-7,4,1,39,12,4,1,41,12,-7,4,1,43,12,-3,4,1,44,13,-3,4,1,46,13,-3,12,4,1,48,13,-3,12,3,0,-7,-7,-7,12,3,0,-7,-7,-7,12,3,0,-7,-7,-7,512,-7
5703,57,3,2,2,1998,-7,-7,39,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,29,12,3,0,-7,-7,3,0,-7,-7,3,0,-7,-7,2,2,0,-7,-7,2,0,-7,-7,2,0,-7,-7,2,1,35,12,3,1,37,12,-7,-7,-7,-7,-7,-7,-7,4,1,39,12,4,1,41,12,-7,4,1,43,12,-7,4,1,44,13,-3,4,1,46,13,-3,12,4,1,48,13,-3,12,3,0,-7,-7,56,12,3,0,-7,-7,41,12,3,0,-7,-7,-7,512,6
5801,58,3,2,7,1981,-7,-7,24,16,16,16,16,16,17,17,17,17,17,17,-7,17,17,1,24,16,2,1,26,16,3,1,28,16,3,1,-3,16,4,4,1,32,16,5,1,34,16,5,1,36,16,5,1,38,16,5,1,40,16,-7,89,92,-3,89,-7,-7,5,1,42,16,5,1,45,16,-7,-7,-7,-7,-7,-7,5,1,48,16,-7,3,1,50,16,-7,17,3,1,52,16,-7,17,3,1,54,16,-7,17,3,1,57,16,-7,17,3,1,59,16,-7,512,-7
5802,58,3,2,3,1984,-7,-7,27,16,16,16,16,16,17,17,17,17,17,17,-7,17,17,1,24,16,2,1,26,16,3,1,28,16,3,1,-3,16,4,4,1,32,16,5,1,34,16,5,1,36,16,5,1,38,16,5,1,40,16,-7,-7,-3,88,99,92,94,5,1,42,16,5,1,45,16,-7,-7,-7,-7,-7,-7,5,1,48,16,-7,3,1,50,16,-7,17,3,1,52,16,-7,17,3,1,54,16,-7,17,3,1,57,16,-7,17,3,1,59,16,-7,512,-7
